contract_type,season_type,usage_min_kwh,usage_max_kwh,base_charge,energy_charge_per_kwh,climate_fee_per_kwh,fuel_adjustment_per_kwh,vat_rate,power_fund_rate
고압,하계,0,300,730,105.0,9.0,5.0,0.10,0.037
고압,하계,301,450,1260,174.0,9.0,5.0,0.10,0.037
고압,하계,451,99999,6060,242.3,9.0,5.0,0.10,0.037
고압,기타,0,300,730,78.3,9.0,5.0,0.10,0.037
고압,기타,301,450,1260,147.3,9.0,5.0,0.10,0.037
고압,기타,451,99999,6060,215.6,9.0,5.0,0.10,0.037
저압,하계,0,300,910,120.0,9.0,5.0,0.10,0.037
저압,하계,301,450,1600,214.6,9.0,5.0,0.10,0.037
저압,하계,451,99999,7300,307.3,9.0,5.0,0.10,0.037
저압,기타,0,300,910,93.3,9.0,5.0,0.10,0.037
저압,기타,301,450,1600,187.9,9.0,5.0,0.10,0.037
저압,기타,451,99999,7300,280.6,9.0,5.0,0.10,0.037
