model_code,model_name,capacity_kw,form,list_price,sale_price,monthly_fee,buy_url,sub_url
SQ06EA1WCS,LG 휘센 벽걸이에어컨,2.3,벽걸이,743000,658000,20900,https://www.lge.co.kr/air-conditioners/sq06ea1wcs-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq06ea1wcs-akor?subscCategoryKeyId=240131
SQ06FA1WDS,LG 휘센 벽걸이에어컨,2.3,벽걸이,743000,700000,22900,https://www.lge.co.kr/air-conditioners/sq06fa1wds-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq06fa1wds-akor?subscCategoryKeyId=243611
SQ06EJ1WES,LG 휘센 벽걸이에어컨,2.3,벽걸이,1263000,1070000,26900,https://www.lge.co.kr/air-conditioners/sq06ej1wes,https://www.lge.co.kr/care-solutions/air-conditioners/sq06ej1wes?subscCategoryKeyId=235604
SQ06GJ1WES,LG 휘센 벽걸이에어컨,2.3,벽걸이,1199000,1080000,27900,https://www.lge.co.kr/air-conditioners/sq06gj1wes-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq06gj1wes-akor?subscCategoryKeyId=251657
SW07GK1WES,LG 휘센 벽걸이에어컨,2.7,벽걸이,1991000,1810000,39900,https://www.lge.co.kr/air-conditioners/sw07gk1wes-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sw07gk1wes-akor?subscCategoryKeyId=251346
SQ07EA3WBS,LG 휘센 벽걸이에어컨,2.8,벽걸이,869000,790000,,https://www.lge.co.kr/air-conditioners/sq07ea3wbs-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq07ea3wbs-akor?subscCategoryKeyId=237647
SQ07GS7EAS,LG 휘센 벽걸이에어컨,2.8,벽걸이,1221000,1100000,28900,https://www.lge.co.kr/air-conditioners/sq07gs7eas-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq07gs7eas-akor?subscCategoryKeyId=252817
SQ07GJ3WES,LG 휘센 벽걸이에어컨,2.8,벽걸이,1332000,1200000,29900,https://www.lge.co.kr/air-conditioners/sq07gj3wes-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq07gj3wes-akor?subscCategoryKeyId=252789
SQ07GS8EAS,LG 휘센 벽걸이에어컨,2.8,벽걸이,1399000,1260000,30900,https://www.lge.co.kr/air-conditioners/sq07gs8eas-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq07gs8eas-akor?subscCategoryKeyId=252818
SW07GJ1WAS,LG 휘센 벽걸이에어컨,2.8,벽걸이,1510000,1360000,31900,https://www.lge.co.kr/air-conditioners/sw07gj1was-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sw07gj1was-akor?subscCategoryKeyId=253082
